group_id,count,pct
459516,9458,3.5844902012059467
752266,9063,3.4347890350528125
281678,6137,2.325863434637439
308856,5437,2.0605702287964407
731432,4741,1.7967929841316763
630869,4671,1.7702636635475766
299791,4590,1.7395654497288324
993359,4588,1.7388074691407154
675317,4525,1.7149310806150255
483370,3442,1.3044845921495951
529606,3380,1.2809871939179638
523149,3300,1.2506679703932781
375816,3282,1.243846145100224
524635,2706,1.0255477357224883
916768,2626,0.9952285121978026
866516,2511,0.9516446283810672
801829,2461,0.9326951136781386
810266,2429,0.9205674242682645
784538,2381,0.9023758901534531
120219,2364,0.8959330551544575
